file_name,title,source,source_url,topic
workplace_stress_overview.pdf,Impact of Burnout on the STEMM Workforce: Proceedings of a Workshop.,NIH,"Job Burnout: Consequences for Individuals, Organizations, and Equity - Impact of Burnout on the STEMM Workforce - NCBI Bookshelf",career_and_work
manage_stress.pdf,I’m So Stressed Out! Fact Sheet,NIMH,I’m So Stressed Out! Fact Sheet - National Institute of Mental Health (NIMH),career_and_work
stress_finding_job.pdf,Exploring the construct of anticipatory stress in finding a job after residency training through cognitive interviewing: Implications for learner well-being and health workforce planning,NIH,Exploring the construct of anticipatory stress in finding a job after residency training through cognitive interviewing: Implications for learner well-being and health workforce planning - PMC,career_and_work
work_life_balance.pdf,"The Impact of Job Stress, Role Ambiguity and Work–Life Imbalance on Turnover Intention during COVID-19: A Case Study of Frontline Health Workers in Saudi Arabia",NIH,"The Impact of Job Stress, Role Ambiguity and Work–Life Imbalance on Turnover Intention during COVID-19: A Case Study of Frontline Health Workers in Saudi Arabia - PMC",career_and_work
stress_resilience.pdf,Stress & Resilience in the Job Search,NIH,Stress & Resilience in the Job Search | Office of Intramural Training & Education at the National Institutes of Health,career_and_work
tips_job_search.pdf,Seven Tips for Staying Motivated and Managing Stress During Your Job Search,UCONN,Seven Tips for Staying Motivated and Managing Stress During Your Job Search – UConn Center for Career Readiness and Life Skills,career_and_work
burnout_wellbeing.pdf,"Burnout,wellbeingandhowtheyrelate:Aqualitativestudyin generalpracticetrainees",NIH,"Burnout, wellbeing and how they relate: A qualitative study in general practice trainees",career_and_work
signs_strategies_burnout.pdf,Seeing burnout coming: early signs and recognition strategies in health professionals,NIH,Seeing burnout coming: early signs and recognition strategies in health professionals,career_and_work
test_anxiety_medical_students.pdf,"Test anxiety, emotional regulation and academic performance among medical students: a qualitative study",NIH,ZMEO_30_2505177.pdf,education
test_anxiety_effects.pdf,"Test anxiety, psychological adaptability, and learning performance: Effects of a mindfulness training intervention on university students",NIH,OS:TX_1~ABS:AT/HTC:TX_2~ABS:AT//ADD:AFF:AT,education
reduce_anxiety.pdf,5 Ways to Reduce Anxiety During Exams,Advantage Mental Health Center,5 Ways to Reduce Anxiety During Exams - Advantage Mental Health Center,education
skill_overcome_anxiety.pdf,Crush the Test: Study Skills and Strategies to Overcome Test Anxiety,Connections Academic,9 Study Skills and Strategies to Overcome Test Anxiety,education
nature_based_mind_body.pdf,Nature-based mind–body intervention for test anxiety in adolescents: a feasibility study,NIH,Nature-based mind–body intervention for test anxiety in adolescents: a feasibility study,education
tips_for_exam.pdf,Three Practical Mental Health Tips for Exam Season,SAGE scholars tuition rewards,Three Practical Mental Health Tips for Exam Season - Tuition Rewards by SAGE Scholars,education
manage_conflict.pdf,"Managing conflict, the healthy way",APA,"Managing conflict, the healthy way",relationships
happy_couples.pdf,Happy couples: How to keep your relationship healthy,APA,Happy couples: How to keep your relationship healthy,relationships
stay_or_go.pdf,Should I Stay or Should I Go? Healthy vs. Unhealthy Relationships,Brain Injury Association of America,Should I Stay or Should I Go? Healthy vs. Unhealthy Relationships - Brain Injury Association of America,relationships
love_stress_support.pdf,"Love, Stress, and Support: Mental Health and Relationships",Deconstructing Stigma.,How Relationships Impact Mental Health—and Vice Versa,relationships
conflict_resolution.pdf,Conflict Resolution for Couples: Practical Strategies for 2025,Conflict Coaching & Consulting Inc.,Conflict Resolution for Couples: Practical Strategies for 2025 - Mastering Conflict,relationships
mindfulness_relationship.pdf,"Mindfulness, relationship quality, and conflict resolution strategies used by partners in close relationships",NIH,"Mindfulness, relationship quality, and conflict resolution strategies used by partners in close relationships - PMC",relationships
parents_caregivers.pdf,For Parents and Caregivers of Children,SAMHSA,How to Talk to Parents and Caregivers of Children About Mental Health | SAMHSA,family
positive_parents.pdf,Positive Parenting and Family Engagement,CDC,Positive Parenting and Family Engagement | Early Care and Education Portal | CDC,family
resources.pdf,Parent and Caregiver Resources,SAMHSA,Mental Health Coping Resources for Parents | SAMHSA,family
parenting_youth_mental_health.pdf,Parenting and Youth Mental Health: You’re Not Alone,SAMHSA,"Embrace, Encourage, & Engage: Family & Caregiver Access to Child & Youth Mental Health Resources",family
talking_with_children.pdf,"Talking With Children: TIPS FOR CAREGIVERS, PARENTS, AND TEACHERS DURING INFECTIOUS DISEASE OUTBREAKS",SAMHSA,"Talking With Children Tips for Caregivers, Parents, and Teachers During Infectious Disease Outbreaks",family
family_based_interventions.pdf,Family-based Interventions to Prevent Substance Use Among Youth: Community Guide Systematic Economic Review,NIH,Family-based Interventions to Prevent Substance Use Among Youth: Community Guide Systematic Economic Review,family
stress_management,"Stress Management Techniques, Healthy Coping Strategies, Breathing Exercise",SAMHSA,"Stress Management Techniques, Healthy Coping Strategies, Breathing Exercise | SAMHSA",stress_and_anxiety
