story,expected_topic,predicted_topic,secondary_topic,confidence,correct,inference_time_seconds
"I have a job interview tomorrow, and I am afraid I will fail.",career_and_work,career_and_work,stress_and_anxiety,0.9,True,1.2407111003994942
"My final exam is next week, but I cannot focus when I try to study.",education,education,stress_and_anxiety,0.9,True,1.0351673997938633
"My boyfriend stopped responding to my messages, and I do not know what happened.",relationships,relationships,,0.9,True,1.099130199290812
My parents keep comparing me with my sister.,family,family,,0.9,True,1.0141238002106547
"Nothing specific is wrong, but I feel worried and tense all day.",stress_and_anxiety,stress_and_anxiety,,0.9,True,1.18949109967798
"My close friend passed away, and I miss her every day.",grief_and_loss,grief_and_loss,,1.0,True,1.1265907995402813
I moved to a new city and have nobody to spend time with.,loneliness,loneliness,,0.9,True,0.9214410996064544
I always compare myself with others and feel like I am not talented enough.,self_confidence,self_confidence,,0.9,True,1.5050665996968746
"My credit-card balance keeps increasing, and I cannot afford all my bills.",financial_concerns,financial_concerns,,0.9,True,1.0679997997358441
I have not been sleeping well and feel exhausted every morning.,health_and_wellness,health_and_wellness,,0.9,True,0.925650299526751
I want to become more disciplined and stop giving up on my goals.,personal_growth,personal_growth,,0.9,True,0.8974302997812629
"The grocery store was crowded today, and the long line annoyed me.",daily_life,daily_life,,0.9,True,0.9415306998416781
